# L K U U_err
16 0.42000000 0.53802539 0.01406844
16 0.42250000 0.53770636 0.00878219
16 0.42500000 0.54085837 0.01153705
16 0.42750000 0.57525137 0.01043666
16 0.43000000 0.55464876 0.01033743
16 0.43250000 0.58275434 0.01013416
16 0.43500000 0.58946972 0.00842507
16 0.43750000 0.60759438 0.00904088
16 0.44000000 0.60960490 0.00691306
16 0.44250000 0.61488806 0.00732782
16 0.44500000 0.62102292 0.00460285
16 0.44750000 0.62689606 0.00539286
16 0.45000000 0.62411442 0.00490426
16 0.45250000 0.64086652 0.00308913
16 0.45500000 0.64576754 0.00285410
16 0.45750000 0.64672891 0.00322369
16 0.46000000 0.64640654 0.00235442
32 0.42000000 0.30510786 0.04617050
32 0.42250000 0.42738436 0.03875915
32 0.42500000 0.43763389 0.04441835
32 0.42750000 0.49146390 0.03041791
32 0.43000000 0.50409239 0.02952691
32 0.43250000 0.55183702 0.01730211
32 0.43500000 0.55300430 0.02848684
32 0.43750000 0.60088397 0.01394769
32 0.44000000 0.61802835 0.00769240
32 0.44250000 0.62886267 0.01305484
32 0.44500000 0.63677338 0.00669535
32 0.44750000 0.64982829 0.00220294
32 0.45000000 0.65031207 0.00345827
32 0.45250000 0.64884019 0.00553176
32 0.45500000 0.64785562 0.00567048
32 0.45750000 0.65621106 0.00171623
32 0.46000000 0.65759174 0.00182785
64 0.42000000 0.16397881 0.06657858
64 0.42250000 0.24177047 0.08790149
64 0.42500000 0.16341289 0.11729211
64 0.42750000 0.31239996 0.07567075
64 0.43000000 0.37093571 0.07417055
64 0.43250000 0.50536876 0.04427037
64 0.43500000 0.51159400 0.03165079
64 0.43750000 0.53822920 0.04352234
64 0.44000000 0.61962221 0.01587315
64 0.44250000 0.62613490 0.01631975
64 0.44500000 0.65114526 0.00297455
64 0.44750000 0.65946776 0.00108599
64 0.45000000 0.66020071 0.00203770
64 0.45250000 0.65786497 0.00371034
64 0.45500000 0.66218193 0.00075310
64 0.45750000 0.66396906 0.00038315
64 0.46000000 0.66446741 0.00021185
