# L p chi_f chi_f_err
16 0.35000000 5.70084635 0.11799460
16 0.36500000 6.31266276 0.13860674
16 0.38000000 7.07067057 0.16883842
16 0.39500000 7.84928385 0.22651135
16 0.41000000 8.21595052 0.23053594
16 0.42500000 9.04589844 0.24671367
16 0.44000000 9.82877604 0.34824558
16 0.45500000 11.30517578 0.47805778
16 0.47000000 10.07236328 0.52067570
16 0.48500000 10.26829427 0.71263137
16 0.50000000 10.69462891 0.76936120
16 0.51500000 10.72034505 0.81884439
16 0.53000000 7.42861328 0.74396324
16 0.54500000 6.03577474 0.76848994
16 0.56000000 5.32880859 0.75216450
16 0.57500000 3.48330078 0.58402120
16 0.59000000 2.23343099 0.41339087
16 0.60500000 1.47783203 0.44499831
16 0.62000000 0.97288411 0.24915803
16 0.63500000 0.59492188 0.17199048
16 0.65000000 0.30335286 0.05628675
32 0.35000000 8.36777344 0.12182169
32 0.36500000 9.98918457 0.16907257
32 0.38000000 11.77285156 0.20293850
32 0.39500000 13.91525879 0.26073133
32 0.41000000 17.07810059 0.40631592
32 0.42500000 20.03997396 0.56150464
32 0.44000000 24.62717285 0.69292180
32 0.45500000 28.46100260 0.92124983
32 0.47000000 34.08938802 1.42593040
32 0.48500000 33.50026042 1.88918509
32 0.50000000 31.93142904 2.52619447
32 0.51500000 25.35009766 2.94155575
32 0.53000000 19.63639323 2.97251980
32 0.54500000 12.93926595 2.22281101
32 0.56000000 6.34187012 1.76777552
32 0.57500000 2.98059896 0.68765001
32 0.59000000 0.76161296 0.09442869
32 0.60500000 0.77032878 0.17029200
32 0.62000000 1.49965820 0.94653318
32 0.63500000 0.38001302 0.09313536
32 0.65000000 0.12944336 0.01175464
64 0.35000000 10.45735474 0.09888183
64 0.36500000 12.94367676 0.14406690
64 0.38000000 16.15407104 0.19808930
64 0.39500000 20.83007406 0.32983195
64 0.41000000 26.76192830 0.42164591
64 0.42500000 35.00520833 0.60008304
64 0.44000000 46.76602987 0.93060570
64 0.45500000 65.61824137 1.58125559
64 0.47000000 92.43473714 3.36442657
64 0.48500000 115.18449504 5.10145162
64 0.50000000 107.79811605 8.82135520
64 0.51500000 69.23848674 7.68999626
64 0.53000000 41.26748047 6.38205543
64 0.54500000 11.13321940 5.12211173
64 0.56000000 3.87646688 0.70306588
64 0.57500000 1.94147542 0.63962782
64 0.59000000 0.74112142 0.10589998
64 0.60500000 0.35623983 0.03950037
64 0.62000000 0.25698853 0.03376437
64 0.63500000 0.21473389 0.06489411
64 0.65000000 0.08913778 0.00655241
